Taxon,Male_ID,Dive_number_,dive_length,dive_start_relative_to_t=0,dive_end_relative_to_t=0,Max_velocity,max_Vel_Time_relative_to_t=0,Mean_Max_X_vel,maxVel_x_time_relative_to_t=0,Mean_Max_Y_vel,maxVel_y_time_relative_to_t=0,relative_time_closest_to_female,Closest_Dist_to_female_(m),MaxDoppler,MaxDopplerTime(z=0),MinDoppler,MinDopplerTime(z=0),Dopp=1,Dopp=1Time,W1Start_Relative_to_z=0,W1End_Relative_to_z=0,W1LowFreq,W1HighFreq,Gap_between_W1_and_W2_,W2Start_Relative_to_z=0,W2End_Relative_to_z=0,W2LowFreq,W2HighFreq,YStart_Relative_to_z=0,YEnd_Relative_to_z=0,YNumber_of_elements,YLowFreq,YHighFreq,XStart_Relative_to_z=0,XEnd_Relative_to_z=0,XNumber_of_elements,XLowFreq,XHighFreq
bchu,no_ID_male1,3,2.875,-1.433333333,1.441666667,15.80607971,-0.3,14.19876115,-0.3,4.810977139,-1.133333333,-0.375,1.3668,1.025535272,-0.533333333,0.975871954,-0.233333333,1.000279847,-0.316666667,-0.997733333,-0.694833333,4513.158,5609.211,0.224,-0.468733333,-0.151333333,4577.632,5867.105,0.106966667,0.614066667,8,1773.026,2385.526,-0.109833333,0.487566667,10,4900,5996.053
bchu,no_ID_male1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4384.211,5996.053,0.2344,NA,NA,4513.158,5867.105,NA,NA,7,1611.842,2321.053,NA,NA,5,4319.737,5802.632
bchu,no_ID_male4,1,2.416664,-1.25,1.166664,11.70005575,-0.258333333,9.924785142,0.108333333,6.487514388,-0.216666667,-0.258333333,1.0531,1.037818023,-0.55,0.96909208,-0.125,1.000769958,-0.233333333,-1.069566,-0.857666,4612.1,5978.648,0.1644,-0.688166,-0.383866,4825.623,6234.875,-0.337566,0.042334,6,2007.117,2647.687,-0.382666,0.205434,8,4868.327,6277.58
bchu,no_ID_male4,2,2.4667,-1.0834,1.3833,14.36180901,-0.025,12.79145352,0.016666667,8.680628327,-0.525,-0.083333333,0.4318,1.035113122,-0.591666667,0.97381147,-0.341666667,0.997801661,-0.4,-0.9117,-0.6985,5039.146,6106.762,0.1682,-0.5226,-0.2992,4953.737,6149.466,-0.2421,0.1611,7,2092.527,2604.982,-0.2703,0.2048,7,4825.623,6064.057
bchu,no_ID_maleNC522,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4483.364,5543.068,0.1376,NA,NA,4605.638,5787.616,NA,NA,9,1793.346,2200.924,NA,NA,8,4320.333,5543.068
bchu,no_ID_maleNC522,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4401.848,5869.131,0.2298,NA,NA,4605.638,5624.584,NA,NA,6,1752.588,2241.682,NA,NA,5,4890.943,5583.826
bchu,WTM1,1,2.535,-0.916666667,1.618333333,6.79583201,-0.141666667,5.865037456,-0.083333333,3.802273297,0.191666667,-0.033333333,2.1572,1.014547786,-0.241666667,0.98413429,0.425,1.000154603,-0.041666667,-0.192466667,0.118533333,4240.437,5639.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bchu,WTM1,2,2.8333,-1.108366667,1.724933333,12.89327138,-0.225,12.08248786,0.05,7.86205678,-0.308333333,-0.083333333,2.4116,1.028886261,-0.358333333,0.966826183,0.408333333,0.999657446,-0.083333333,-0.758366667,-0.504566667,4595.745,5499.182,0.1372,-0.337666667,-0.138666667,4674.304,5774.141,-0.211866667,0.362133333,10,1963.993,2396.072,-0.119266667,0.419333333,8,4389.744,5579.487
bchu,WTM1,3,2.433,-1.1,1.333,12.79497761,-0.166666667,9.646467761,-0.108333333,8.64672206,0,-0.075,0.6941,1.035585012,-0.258333333,0.966256604,0.15,1.002613283,-0.083333333,-1.125,-0.8185,4184.615,5743.59,0.2218,-0.5853,-0.2651,4348.718,5784.615,-0.16,0.4346,10,1887.179,2297.436,-0.176,0.3226,8,4430.769,5456.41
bchu,WTM1,4,2.35,-1.091666667,1.258333333,13.38436621,-0.075,12.42811522,-0.008333333,6.560967348,-0.283333333,-0.225,1.0711,1.034659637,-0.441666667,0.965742528,-0.008333333,0.999681649,-0.225,-1.144966667,-0.891166667,4371.585,5551.913,0.2596,-0.619066667,-0.294366667,4677.596,5945.355,-0.292066667,0.375733333,10,1879.781,2316.94,-0.271466667,0.181333333,7,4109.29,5683.06
