ind,angle,names,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,lum
DF09K01,0,DF09K01 0,0.142148242,0.084265535,0.140101868,0.633484355,-0.107851758,-0.165734465,-0.109898132,0.383484355,0.336326466,-0.154695926,-0.107851758,-0.431103774,-0.283488958,0.385588282,0.581635633,0.66293786,0.197348222
DF09K01,20,DF09K01 20,0.282223713,0.219075399,0.237441482,0.261259406,0.032223713,-0.030924601,-0.012558518,0.011259406,0.025832323,-0.001927517,0.032223713,-0.074478472,0.893691418,0.041344793,0.334238697,0.123698402,0.01785644
DF09K01,40,DF09K01 40,0.27721678,0.230836781,0.242429001,0.249517438,0.02721678,-0.019163219,-0.007570999,-0.000482562,0.011439519,0.001592328,0.02721678,0.138306676,1.169464872,0.029566049,0.385713496,0.076652876,0.014293289
DF09K01,60,DF09K01 60,0.280565231,0.223241167,0.240629168,0.255564434,0.030565231,-0.026758833,-0.009370832,0.005564434,0.019793878,0.000867173,0.030565231,0.043782146,0.995676433,0.036425031,0.340308485,0.10703533,0.067197903
DF09K01,80,DF09K01 80,0.247975166,0.212367535,0.268520433,0.271136866,-0.002024834,-0.037632465,0.018520433,0.021136866,0.035988718,0.018927999,-0.002024834,0.484185623,-0.049754724,0.040713105,0.270465309,0.15052986,0.043089136
DF10K01,-80,DF10K01 -80,0.299312874,0.224425619,0.2271495,0.249112006,0.049312874,-0.025574381,-0.0228505,-0.000887994,0.015117263,-0.006801881,0.049312874,-0.422805125,1.246504063,0.052024579,0.508561474,0.102297522,0.00598524
DF10K01,-60,DF10K01 -60,0.250382003,0.221905217,0.251108131,0.27660465,0.000382003,-0.028094783,0.001108131,0.02660465,0.033496425,0.001310408,0.000382003,0.039100903,0.011395075,0.033524224,0.298313602,0.112379133,0.05768596
DF10K01,-40,DF10K01 -40,0.255605115,0.228631835,0.244531843,0.271231206,0.005605115,-0.021368165,-0.005468157,0.021231206,0.026086681,-0.003818148,0.005605115,-0.145331982,0.209480951,0.026953858,0.315350647,0.085472659,0.013573549
DF10K01,-20,DF10K01 -20,0.207759363,0.178858301,0.246482732,0.366899603,-0.042240637,-0.071141699,-0.003517268,0.116899603,0.11515131,-0.018664946,-0.042240637,-0.160693022,-0.347414518,0.124066417,0.435983463,0.284566795,0.019886824
DF10K01,0,DF10K01 0,0.106277063,0.061138286,0.156015504,0.676569147,-0.143722937,-0.188861714,-0.093984496,0.426569147,0.376872895,-0.150499343,-0.143722937,-0.379934813,-0.340377381,0.430510759,0.569875639,0.755446855,0.146479411
